ORPHAcode,Preferred term,Typology,PrevalenceType,ValMoy,PrevalenceClass,PrevalenceQualification,PrevalenceGeographic,PrevalenceValidationStatus,Source
36258,Buerger disease,Disease,Point prevalence,10.0,1-5 / 10 000,Value and class,Europe,Validated,European Medicines Agency 2015[INST]
35808,Malignant sex cord stromal tumor of ovary,Category,Point prevalence,1.85,1-9 / 100 000,Value and class,Europe,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.13,1-9 / 1 000 000,Value and class,Europe,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.1,1-9 / 1 000 000,Value and class,United States,Validated,15863154[PMID]
35808,Malignant sex cord stromal tumor of ovary,Category,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.05,<1 / 1 000 000,Value and class,Finland,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.043,<1 / 1 000 000,Value and class,Iceland,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.074,<1 / 1 000 000,Value and class,Ireland,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.069,<1 / 1 000 000,Value and class,Italy,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.094,<1 / 1 000 000,Value and class,Malta,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.045,<1 / 1 000 000,Value and class,Portugal,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.063,<1 / 1 000 000,Value and class,Slovenia,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.039,<1 / 1 000 000,Value and class,Spain,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.073,<1 / 1 000 000,Value and class,Switzerland,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.093,<1 / 1 000 000,Value and class,Netherlands,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.089,<1 / 1 000 000,Value and class,United Kingdom,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.133,1-9 / 1 000 000,Value and class,Austria,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.102,1-9 / 1 000 000,Value and class,Belgium,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.367,1-9 / 1 000 000,Value and class,Bulgaria,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.152,1-9 / 1 000 000,Value and class,Croatia,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.314,1-9 / 1 000 000,Value and class,Czech Republic,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.296,1-9 / 1 000 000,Value and class,Estonia,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.135,1-9 / 1 000 000,Value and class,Germany,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.401,1-9 / 1 000 000,Value and class,Latvia,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.236,1-9 / 1 000 000,Value and class,Lithuania,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.12,1-9 / 1 000 000,Value and class,Norway,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.232,1-9 / 1 000 000,Value and class,Poland,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35808,Malignant sex cord stromal tumor of ovary,Category,Annual incidence,0.212,1-9 / 1 000 000,Value and class,Slovakia,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.08,<1 / 1 000 000,Value and class,Europe,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Lifetime Prevalence,2.3,1-9 / 100 000,Value and class,Europe,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.2,1-9 / 1 000 000,Value and class,United States,Validated,15863154[PMID]
35807,Malignant germ cell tumor of ovary,Category,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.072,<1 / 1 000 000,Value and class,Austria,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.07,<1 / 1 000 000,Value and class,Belgium,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.089,<1 / 1 000 000,Value and class,Bulgaria,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.093,<1 / 1 000 000,Value and class,Croatia,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.087,<1 / 1 000 000,Value and class,Czech Republic,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.062,<1 / 1 000 000,Value and class,Finland,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.065,<1 / 1 000 000,Value and class,Germany,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.085,<1 / 1 000 000,Value and class,Iceland,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.065,<1 / 1 000 000,Value and class,Ireland,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.065,<1 / 1 000 000,Value and class,Italy,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.081,<1 / 1 000 000,Value and class,Latvia,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.095,<1 / 1 000 000,Value and class,Lithuania,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.09,<1 / 1 000 000,Value and class,Norway,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.098,<1 / 1 000 000,Value and class,Poland,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.064,<1 / 1 000 000,Value and class,Portugal,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.075,<1 / 1 000 000,Value and class,Slovenia,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.072,<1 / 1 000 000,Value and class,Spain,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.051,<1 / 1 000 000,Value and class,Switzerland,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.061,<1 / 1 000 000,Value and class,Netherlands,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.064,<1 / 1 000 000,Value and class,United Kingdom,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.157,1-9 / 1 000 000,Value and class,Estonia,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.126,1-9 / 1 000 000,Value and class,Malta,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35807,Malignant germ cell tumor of ovary,Category,Annual incidence,0.141,1-9 / 1 000 000,Value and class,Slovakia,Validated,RARECARE surveillance of rare cancers in Europe[REG]
35878,Hyperinsulinism-hyperammonemia syndrome,Disease,Point prevalence,0.0,Unknown,Class only,Europe,Not yet validated,ORPHANET
35858,Imerslund-Gräsbeck syndrome,Disease,Point prevalence,0.5,1-9 / 1 000 000,Value and class,Finland,Validated,Pr Ralph GRÄSBECK[EXPERT]
35858,Imerslund-Gräsbeck syndrome,Disease,Point prevalence,0.5,1-9 / 1 000 000,Value and class,Norway,Validated,Pr Ralph GRÄSBECK[EXPERT]
35858,Imerslund-Gräsbeck syndrome,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
35858,Imerslund-Gräsbeck syndrome,Disease,Point prevalence,0.5,1-9 / 1 000 000,Value and class,Europe,Validated,Pr Ralph GRÄSBECK[EXPERT]_ORPHANET
35909,Combined deficiency of factor V and factor VIII,Disease,Point prevalence,0.5,1-9 / 1 000 000,Value and class,Europe,Validated,[EXPERT]
35909,Combined deficiency of factor V and factor VIII,Disease,Point prevalence,1.0,1-9 / 100 000,Value and class,"Iran, Islamic Republic of",Validated,9531348[PMID]
35889,Acute opioid intoxication,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
36204,Intestinal lymphangiectasia,Clinical group,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
35981,Polymicrogyria,Clinical group,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
33572,5-oxoprolinase deficiency,Disease,Cases/families,8.0,,Case(s),Worldwide,Validated,ORPHANET
33572,5-oxoprolinase deficiency,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET
33543,Kleine-Levin syndrome,Disease,Point prevalence,0.0,1-9 / 1 000 000,Class only,Europe,Not yet validated,ORPHANET
33543,Kleine-Levin syndrome,Disease,Point prevalence,0.18,1-9 / 1 000 000,Value and class,France,Validated,25559212[PMID]
33475,Meningococcal meningitis,Disease,Point prevalence,0.0,1-9 / 100 000,Class only,Europe,Validated,European Medicines Agency 2006[INST]
33475,Meningococcal meningitis,Disease,Annual incidence,2.3,1-9 / 100 000,Value and class,France,Validated,Institut de Veille Sanitaire 2010[INST]
33475,Meningococcal meningitis,Disease,Annual incidence,2.7,1-9 / 100 000,Value and class,New Zealand,Validated,Institute of Environmental Science and Research 2011[INST]
33475,Meningococcal meningitis,Disease,Annual incidence,0.8,1-9 / 1 000 000,Value and class,United States,Validated,Center for Diseases Control and Prevention[INST]
33445,Neuroectodermal melanolysosomal disease,Malformation syndrome,Cases/families,20.0,,Case(s),Worldwide,Validated,474620[PMID]_10052404[PMID]_11170073[PMID]_17710870[PMID]
33445,Neuroectodermal melanolysosomal disease,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET
33408,Bullous lichen planus,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
535458,Familial GPIHBP1 deficiency,Etiological subtype,Cases/families,10.0,,Family(ies),Worldwide,Validated,25732519[PMID]
535458,Familial GPIHBP1 deficiency,Etiological subtype,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_25732519[PMID]
33402,Pediatric hepatocellular carcinoma,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,24439603[PMID]
33402,Pediatric hepatocellular carcinoma,Disease,Annual incidence,0.15,1-9 / 1 000 000,Value and class,Europe,Validated,[EXPERT]
33402,Pediatric hepatocellular carcinoma,Disease,Annual incidence,0.0,<1 / 1 000 000,Class only,United States,Validated,24439603[PMID]
34217,Naxos disease,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,15210133[PMID]_34926342[PMID]_ORPHANET
33577,Nodular non-suppurative panniculitis,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
33574,Glutamate-cysteine ligase deficiency,Disease,Cases/families,10.0,,Case(s),Worldwide,Validated,18024385[PMID]
33574,Glutamate-cysteine ligase deficiency,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_18024385[PMID]
33573,Gamma-glutamyl transpeptidase deficiency,Disease,Cases/families,7.0,,Case(s),Worldwide,Validated,15702405[PMID]
33573,Gamma-glutamyl transpeptidase deficiency,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_15702405[PMID]
33110,Autosomal agammaglobulinemia,Clinical subtype,Cases/families,100.0,,Case(s),Worldwide,Validated,[EXPERT]
33110,Autosomal agammaglobulinemia,Clinical subtype,Point prevalence,0.0,<1 / 1 000 000,Class only,Europe,Not yet validated,ORPHANET
33111,Granulomatous slack skin,Disease,Cases/families,50.0,,Case(s),Worldwide,Validated,14726855[PMID]
33111,Granulomatous slack skin,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET
33108,Lethal multiple pterygium syndrome,Malformation syndrome,Cases/families,28.0,,Family(ies),Worldwide,Validated,ORPHANET
33108,Lethal multiple pterygium syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET
33067,"Metaphyseal chondrodysplasia, Jansen type",Disease,Cases/families,16.0,,Case(s),Worldwide,Validated,ORPHANET
33067,"Metaphyseal chondrodysplasia, Jansen type",Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET
33069,Dravet syndrome,Disease,Prevalence at birth,3.3,1-9 / 100 000,Value and class,Europe,Validated,22719002[PMID]_25772213[PMID]_ 31302675[PMID]
33069,Dravet syndrome,Disease,Point prevalence,0.0,Unknown,Class only,Europe,Validated,ORPHANET
33001,Lymphedema-distichiasis syndrome,Malformation syndrome,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET_24215208[PMID]
33355,Reticular dysgenesis,Disease,Annual incidence,0.03,<1 / 1 000 000,Value and class,Europe,Validated,[EXPERT]
33355,Reticular dysgenesis,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Europe,Not yet validated,ORPHANET
535453,Familial lipase maturation factor 1 deficiency,Etiological subtype,Cases/families,2.0,,Family(ies),Worldwide,Validated,25732519[PMID]
535453,Familial lipase maturation factor 1 deficiency,Etiological subtype,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_25732519[PMID]
33364,Trichothiodystrophy,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET
33364,Trichothiodystrophy,Disease,Cases/families,201.0,,Case(s),Worldwide,Validated,18603627[PMID]_18329345[PMID]_19681155[PMID]
33364,Trichothiodystrophy,Disease,Prevalence at birth,0.12,1-9 / 1 000 000,Value and class,Europe,Validated,18329345[PMID]
33276,Kaposi sarcoma,Disease,Annual incidence,0.34,1-9 / 1 000 000,Value and class,Europe,Validated,22033323[PMID]_RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Point prevalence,0.0,1-9 / 100 000,Class only,Europe,Validated,22033323[PMID]_RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Lifetime Prevalence,2.11,1-9 / 100 000,Value and class,Europe,Validated,22033323[PMID]_RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,0.051,<1 / 1 000 000,Value and class,Austria,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,0.075,<1 / 1 000 000,Value and class,Belgium,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,0.099,<1 / 1 000 000,Value and class,Bulgaria,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,0.092,<1 / 1 000 000,Value and class,Czech Republic,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,0.065,<1 / 1 000 000,Value and class,Estonia,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,0.014,<1 / 1 000 000,Value and class,Finland,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,0.076,<1 / 1 000 000,Value and class,Germany,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,0.027,<1 / 1 000 000,Value and class,Norway,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,0.043,<1 / 1 000 000,Value and class,Poland,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,0.05,<1 / 1 000 000,Value and class,Slovakia,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,0.056,<1 / 1 000 000,Value and class,Slovenia,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,0.133,1-9 / 1 000 000,Value and class,Croatia,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,0.111,1-9 / 1 000 000,Value and class,Ireland,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,0.108,1-9 / 1 000 000,Value and class,Latvia,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,0.112,1-9 / 1 000 000,Value and class,Lithuania,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,0.597,1-9 / 1 000 000,Value and class,Malta,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,0.915,1-9 / 1 000 000,Value and class,Portugal,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,0.546,1-9 / 1 000 000,Value and class,Spain,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,0.163,1-9 / 1 000 000,Value and class,Switzerland,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,0.278,1-9 / 1 000 000,Value and class,Netherlands,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,0.192,1-9 / 1 000 000,Value and class,United Kingdom,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,1.363,1-9 / 100 000,Value and class,Iceland,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33276,Kaposi sarcoma,Disease,Annual incidence,1.142,1-9 / 100 000,Value and class,Italy,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33314,Jessner lymphocytic infiltration of the skin,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
33208,Idiopathic hypersomnia,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
33208,Idiopathic hypersomnia,Disease,Point prevalence,30.0,1-5 / 10 000,Value and class,Europe,Validated,European Medicines Agency 2015[INST]
33226,Waldenström macroglobulinemia,Disease,Annual incidence,0.81,1-9 / 1 000 000,Value and class,Europe,Validated,RARECARE surveillance of rare cancers in Europe[REG]
33226,Waldenström macroglobulinemia,Disease,Annual incidence,2.05,1-9 / 100 000,Value and class,France,Validated,Institut National du Cancer 2013[INST]
33226,Waldenström macroglobulinemia,Disease,Annual incidence,0.38,1-9 / 1 000 000,Value and class,United States,Validated,22139816[PMID]
33226,Waldenström macroglobulinemia,Disease,Annual incidence,0.55,1-9 / 1 000 000,Value and class,United Kingdom,Validated,17416416[PMID]
33226,Waldenström macroglobulinemia,Disease,Annual incidence,0.31,1-9 / 1 000 000,Value and class,Spain,Validated,11736938[PMID]
33226,Waldenström macroglobulinemia,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET
33226,Waldenström macroglobulinemia,Disease,Point prevalence,0.0,1-9 / 100 000,Class only,Europe,Validated,European Medicines Agency 2014[INST]
35069,Infantile neuroaxonal dystrophy,Disease,Cases/families,150.0,,Case(s),Worldwide,Validated,ORPHANET
35069,Infantile neuroaxonal dystrophy,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET
35093,Non-syndromic sagittal craniosynostosis,Morphological anomaly,Point prevalence,20.7,1-5 / 10 000,Value and class,Australia,Validated,34626670[PMID]_ORPHANET
35093,Non-syndromic sagittal craniosynostosis,Morphological anomaly,Prevalence at birth,20.7,1-5 / 10 000,Value and class,Australia,Validated,34626670[PMID]
35078,T-B+ severe combined immunodeficiency due to JAK3 deficiency,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
35062,Severe disseminated cytomegalovirus infection in immunocompetent patients,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
34520,Congenital muscular dystrophy with integrin alpha-7 deficiency,Disease,Point prevalence,0.03,<1 / 1 000 000,Value and class,Europe,Not yet validated,ORPHANET
34514,Telethonin-related limb-girdle muscular dystrophy R7,Disease,Cases/families,16.0,,Case(s),Worldwide,Validated,12921790[PMID]_18948002[PMID]_25298746[PMID]
34514,Telethonin-related limb-girdle muscular dystrophy R7,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_12921790[PMID]_18948002[PMID]_25298746[PMID]
34515,FKRP-related limb-girdle muscular dystrophy R9,Disease,Point prevalence,0.0,1-9 / 100 000,Class only,Europe,Validated,19767415[PMID]_20961759[PMID]_ORPHANET
34515,FKRP-related limb-girdle muscular dystrophy R9,Disease,Point prevalence,0.43,1-9 / 1 000 000,Value and class,United Kingdom,Validated,19767415[PMID]
34515,FKRP-related limb-girdle muscular dystrophy R9,Disease,Point prevalence,1.85,1-9 / 100 000,Value and class,Norway,Validated,20961759[PMID]
34516,DNAJB6-related limb-girdle muscular dystrophy D1,Disease,Cases/families,6.0,,Family(ies),Worldwide,Validated,26847086[PMID]
34516,DNAJB6-related limb-girdle muscular dystrophy D1,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_26847086[PMID]
34587,Danon disease,Disease,Cases/families,84.0,,Case(s),Worldwide,Validated,ORPHANET
34587,Danon disease,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET
34587,Danon disease,Disease,Prevalence at birth,0.05,<1 / 1 000 000,Value and class,Sweden,Validated,25274184[PMID]
34592,Immunodeficiency by defective expression of MHC class I,Disease,Cases/families,30.0,,Case(s),Worldwide,Validated,25001848[PMID]
34592,Immunodeficiency by defective expression of MHC class I,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_25001848[PMID]
34528,Autosomal dominant primary hypomagnesemia with hypocalciuria,Disease,Cases/families,28.0,,Case(s),Worldwide,Validated,25765846[PMID]
34528,Autosomal dominant primary hypomagnesemia with hypocalciuria,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_25765846[PMID]
34533,Corneal dystrophy,Category,Point prevalence,110.0,>1 / 1000,Value and class,United States,Not yet validated,21791583[PMID]
34533,Corneal dystrophy,Category,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
536516,Myopathic Ehlers-Danlos syndrome,Disease,Cases/families,8.0,,Case(s),Worldwide,Validated,28306225[PMID]
536516,Myopathic Ehlers-Danlos syndrome,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_28306225[PMID]
536471,Spondylodysplastic Ehlers-Danlos syndrome,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_29931299[PMID]_26940150[PMID]_18513683[PMID]_18985159[PMID]
536471,Spondylodysplastic Ehlers-Danlos syndrome,Disease,Cases/families,24.0,,Family(ies),Worldwide,Validated,29931299[PMID]_26940150[PMID]_18513683[PMID]_18985159[PMID]
536467,B3GALT6-related spondylodysplastic Ehlers-Danlos syndrome,Clinical subtype,Cases/families,41.0,,Family(ies),Worldwide,Validated,23664117[PMID]_29931299[PMID]_23664118[PMID]
536467,B3GALT6-related spondylodysplastic Ehlers-Danlos syndrome,Clinical subtype,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_29931299[PMID]
536545,Kyphoscoliotic Ehlers-Danlos syndrome,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET_28306225[PMID]
536532,Classical-like Ehlers-Danlos syndrome type 2,Disease,Cases/families,7.0,,Case(s),Worldwide,Validated,30759870[PMID]
536532,Classical-like Ehlers-Danlos syndrome type 2,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_30759870[PMID]
537072,PLG-related hereditary angioedema with normal C1Inh,Clinical subtype,Cases/families,105.0,,Case(s),Worldwide,Validated,30809376[PMID]
537072,PLG-related hereditary angioedema with normal C1Inh,Clinical subtype,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_30809376[PMID]
32960,Tumor necrosis factor receptor 1 associated periodic syndrome,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET
32960,Tumor necrosis factor receptor 1 associated periodic syndrome,Disease,Point prevalence,0.1,1-9 / 1 000 000,Value and class,Europe,Validated,European Medicines Agency 2012[INST]
52530,Pseudo-von Willebrand disease,Disease,Cases/families,60.0,,Case(s),Worldwide,Validated,23327637[PMID]_21301777[PMID]_23934752[PMID]
52530,Pseudo-von Willebrand disease,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET
52688,Myelodysplastic syndrome,Clinical group,Annual incidence,1.5,1-9 / 100 000,Value and class,Europe,Validated,RARECARE surveillance of rare cancers in Europe[REG]
52688,Myelodysplastic syndrome,Clinical group,Lifetime Prevalence,5.02,1-9 / 100 000,Value and class,Europe,Validated,22033323[PMID]_RARECARE surveillance of rare cancers in Europe[REG]
52688,Myelodysplastic syndrome,Clinical group,Annual incidence,4.15,1-9 / 100 000,Value and class,Germany,Validated,21708407[PMID]
52688,Myelodysplastic syndrome,Clinical group,Point prevalence,7.0,1-9 / 100 000,Value and class,Germany,Validated,21708407[PMID]
52688,Myelodysplastic syndrome,Clinical group,Annual incidence,6.4,1-9 / 100 000,Value and class,France,Validated,Institut National du Cancer 2013[INST]
